review,Label
ممتاز جدااا انصح استخدام البرنامج يحل لكم كل المشاكل التي متعلقه بلبلديه شكراا لتعونكم..خدمة سريعة جداا ..قدم المشكله التي لديك تنحل في اسرع وقت ممكن الان حمل البرنامج اذا لا تعرف طريقة استخدام البرنامج اتصل على 940 راح يخدمك الموظف.. ♥♥♥♥♥,rating
مرتبزتيتبزبتقت وبززبوبز ما خلق الله ماما,others
يعني ابسط شي وهو اني اسمع الاغاني بالترتيب صار لازم اشترك عشانه ،، قمة الجشع ، راح احذف البرنامج واستخدم ديزر افضل,rating
يع يع يع يع يع يع يع يع صفر,rating
تطبيق يتميز بالصعوبة العالية والتعقيد؛ وكثرة المدخلات غير المهمة,rating
برنامج ممتاز ولاكن نريد حل لتعليق احيانن وكذالك عندما ينطفي الجوال ينطفي البرنامج,bug_report
منذ أن حملت التطبيق حجزت عليه الموعد بكل سلاسة و لكن عند حجزي الموعد الثاني حاليا بعد الموعد الأول رسالة التأكيد عند الدخول للحساب تأتي متأخرة نصف ساعة لادخال رمز التحقق مما يجعل التطبيق بلا فائدة و لم أستطع حجز موعد فأرجو معالجة هذا الخلل,bug_report
جميل جدا..كان ذلك قبل جشع اللعبة ...اما الان فهي سيئة للغاية نرجو تدارك الامر,rating
لماذا هذه تطبيق لايعمل بشكل جيد لماذ,rating
اللي عنده دعوه لايبخل,others
واااااااو يجنن يجننن كيوت,rating
هي روووععة ولكن ثقيل الاوفلاين كأنك تلعب اونلاين اللي يعرف حل المشكلة الرجاء اخباري,rating
العبة كل شيء فيها مدفوع العبة زبالة,rating
ممتاز جدا بارك الله فيكم الله يقويكم,rating
أكثر من مليار تحميل.... لكن فيه عيوب العيب الأول 1_ لا توجد ألعاب كثيرة وعديدة ومتنوعة وشائعة... كلها ألعاب مالها قيمة سييئة في اللعب 2_ نرجوا اضافة ألعاب شائعة بحيث نستطيع لعب بها من PUBG MOBİLE... وهناك مشكلة وأيضاً كبيرة هي عدم حفظ الألعاب المثبتة في الهاتف في بداية اللعب لا أستطيع أكمل هذا.... 3 عند تثبيت التطبيق من المتجر الخاص بكم وبدأ اللعب من الأصدقاء يظهر لي رسالة وهي خطأ قم بتثبيت التطبيق وانا مثبته سابقاً الرجاء حل المشكلة وجميع المشاكل المتعلقة بالنظام مع تحسينات داخلية في النظام....,bug_report
هذا البرنامج اكثر من رائع جداً,rating
يلعن ام التفعيلات يا اخي اندمت لاني شريتو يا اخي لو ماعندي كمبيوتر شو اعمل بهالحال اقسم بالله ملليت الالعاب من ضيمو,rating
الرسائل في بريدي تم حذفها بعد ماقمت بتحميل برنامج تويو ارجو حل المشكله واعادة كل البريد فيها رسائل مهمه وتسجيل للجامعه وشكرا,bug_report
من اسوأ البرامج اللي يسن قوانين ويخالفها مايخليك تتهنا فيه لازم يطفشك كل شوي يوقفون حسابات,rating
تطبيق حلو بس المشكله مي يرن داخل عل التطبيق,bug_report
برنامج رائع ومفيد جدا في حفظ الاوراق الهامة خاصة في حال تغيير الجوال بشكل مستمر,rating
برنامج جميل ورائع جداً,rating
والله نجمة واحدة كثيرة عليه. التطبيق سيئ وفاشل والسبب بعد التسجيل يصل رمز التفعيل وبعد ادخال رمز التفعيل تطلع ملاحضة تقول يوجد خطاء نرجو المحاولة مره اخرى. للمعلومية حاولت اكثر من 5 مرات وبعدين حذفته وريحت راسي,rating
عدم التجاوب مع شكاوي من شهر رمضان 1440 على شركة الاتصالات السعودية بسبب ضعف الشبكه,others
الرجاء تنزيله على الاندرويد,improvement_request
ينزل فالسناب تقطيع,bug_report
يرجا التحسين و خصوصا فى مكة,improvement_request
البرنامج مره زفت كل بين يومين صار يقطع ويرجع يسجل تسجيل دخول من جديد وكل شي الي حملته ينحذف شنو هذا ليش كذا ؟؟؟ حسنو من الاداء حقه وشكرا,bug_report
حلو بس ياشباب كيف  يتعرب اللغه العربيه  وكيف يتحدث,rating
اتمنى اضافة اللعب كفريق,improvement_request
لعبة جميلة جدا ولكن هناك الكثير من الهدايا مما يهل العبة وسوف تمل منها بسرعة انصحكم ان تقللي عدد الهدايا,improvement_request
لعبه سيئه جدا وحتي نجمه واحده كتير عليها تجربه فاشله لا أنصح أحد بها 👎👎,rating
نشكر حكومتنا الرشيده وتجاوزها الصعاب وخوفها على المواطنين.,others
ماذا يحصل اللعبه بعد التحديث لا ترضى ان تشتغل,bug_report
عندما تكون متقدم تتوقف العبه وتذهب الي الخصم بدون انقطاع نت أو الخروج أعطيت للعبه خمسه نجوم سوف اسحب ثلاثه منهم فقط 🧡,bug_report
"تطبيق ضعيف وغير واقعي 
بصراحة تطبيق بدائي جداً ولا يستحق أي نجمة",rating
السلام عليكم ورحمة الله وبركاته مستوى حقول السبائك منخفضة,rating
نبي اكواد تخصم طلبنا مو الطلب الجاي,improvement_request
مع الاسف التطبيق لا يعمل ما الحل,bug_report
تجاوب سريع.. تقدمت بشكوى تأخر توريد المياه عن طريق التطبيق وكان التجاوب خلال ٣ ايام,rating
لايقبل رقم جوالي لكي يرسل الكود ؟؟؟,bug_report
اللعبه تحملت عندي بس ماتفتح تعلق وهي تتحمل وش السبب,bug_report
ياليت التعديل كنت ابغى أستفسار عن الفاتورة القديمة,improvement_request
التطبيق ممتاز جدا,rating
البرنامح جدا ممتاز بس فجى يقفل ولا يفتح أبدا ولا يرضي يفتح بجميع والمحاولات,bug_report
الدعم فاشل الشحن اوفر سب وقذف في اكثر الرومات,rating
اسوء لعبة في العالم العب قيم وبعد يوم تصبح الشاشه بيصاء ارجو حل هذه المشكلة,bug_report
مميز من نوعه,rating
شحنت مرتين جواهر ب 36 ريال ولا انضافت لي وش الحل,bug_report
انه تطبق اخذ مسافه كبيره ولقد حذفت كل البرامج التي في جوالي ولا كن لا يزالايتحمل😡,rating
"حلوه العبه بس الروبكس بفلوس حقيقيه
عشان كذا نقصت نجمه",rating
سهل الاستخدام و ممتاز,rating
يستاهل فايف ستار ثانكيواااا,rating
في تحديث للبيت هو في غرفة بيبي واجداد بس في البيت الجديد فقط تبغو تنزلو  روحو اكتبو على يوتيوب,others
خدمه ماتليق بسمعة المملكه ومكانتها كلام في الاعلام حسيت انا وصلنا القمر من التقدم والوضوح ولاكن في الواقع استهلاك اعلامي لااقل,rating
اللعبي يععععع مش حلو ماانسح حد يلعبي كل مااربح مااخد غير 1 ليره و المصاري تروح 😡😡😡👎👎,rating
ماشاء لله تبارك الرحمن اللعبه جميله جدا بس مع السلامه وشكرا لي اقرأ التعليق ❤👍,rating
ضروري يكون الطلب مغلق باحكام,others
روعه روعه روعه,rating
تطبيق ممتاز وسهل حياة الناس شكرا وزارة الصحة,rating
عندي مشكله في طبع البطاقه رغم اني رحت وقعت في الفرع,bug_report
الاكل يتأخر مرا ويوصل بارد للأسف,rating
ثلاث نجمات عشان  يرجع التحديث القديم وغير هذا التعليق,rating
التطبيق شغال بس يحتاج تغير اللغه الي انجليزي في الجوال للتسجيل والدخول,bug_report
اللعبه مرره مرره حلوههه بنصحكم فيها واذا تبغون تحملون الي بفلوس حملو تطبيق ابتوديد 👍👍💕,rating
لازم تكون المنشأة الي تبي تقيمها جنب بيتك ولا داخل حوشك عشان تطلع ع الخريطة وتقيمها !,others
مره حلو افضل اهذي اللعبه,rating
ماهي وظيفه هذا البرنامج؟,others
لو تسوون التعليق,improvement_request
كيف احصل على الرقم الشخصي ؟اللي 8ارقام.ام هو غير مهم؟؟,others
والله مدري وش اخرتها ههههه,others
غالي جدا ويصرف عملات كثيره علئ الفيديو معه البنت,rating
جيد جدآ  لكن مع نص ميقا يالله يتحمل,rating
مننا 8 عمال قدمنا الشكوى ولم يتواصل معانا احد من مكتب العمل الله المستعان تم طرد 8 عمال وضلمنا ولم يصرف لنا حقوقنا ولاكن للاسف مافي تواصل من احد اشتكي لله تعالى من الشركة الي نعمل معها ومكتب العمل نايم,others
الشكر الجزيل لوزارة الصحة وكل شخص قام بالعمل على معالجة هذه الازمة الخطيرة ، ازمة كورونا ، سرعتكم ، تطبيقاتكم على الهواتف ، مراكز الفحص، لا يوجد مثلها بأي مكان، الف شكر,rating
اخوي انا سجلت دخول جديد والتطبيق رفض تسجيل ويقول لا توجد تفاصيل لهذا المشترك مع العلم إن كل معلومات إلي سجلتها صح هل في مشكله او أيش القصد إني ما فهمت ي ليت ترد,bug_report
نشكر وزارة الصحة على الخدمات لكن كان يفضل أن تجمع جميع الخدمات في تطبيق واحد لعدم تشتيت المواطن والمقيم ...الآن عندهم تطبيق صحة وصحتي وموعد وتباعد وتوكلنا وتطمن أشوفها لخبطة واجمعوها في واحد شامل كل الخدمات,improvement_request
تم حل المشكلة,others
"جميل وسهل 
مشكلته انه اذا انتهى اشتراك تنحذف كل موسيقاك التي حملتها عبر انترنت",rating
رائعة جدا بس كلما احل لغز واحد تطلعني ليش ما ادري❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,bug_report
كذابين ترا المارد مشغل المايكرفون,others
هل ضروري التحديث الايفون لاخر اصدار مارضي يفتح معي التطبيق,bug_report
لم يتم العثور على ملفات الايقاعات فيه خلل,bug_report
مع الشكر والتقدير اللعبة جداً جميلة وممتعة والدردشة اصبحت مكان لتواصل بين الاعضاء,rating
عايز اعرف اشحن فورى ولا فيزا عايز اعرف الطريقه وشكرا,others
حلوه اللعبه بس لو فيه كذا الناس اخضر بعدين تصير اسم والقاتل بتصير احلى,improvement_request
لا يوجد زر إعجاب بالفعاليات كما يقول التطبيق,improvement_request
كل عام وانتم بخير,others
الاسعار ف عمان واجد غالي مقارنة بالسعوديه🙂🙂🙂,others
ارى ان هناك حاجه الى حمله إعلاميه واسعه وورش عمل للتعريف بشكل اكثر بالمركز وكذلك بالتطبيق وطريقة استخدامه والتي تبدو غير واضحه للكثير,others
من بداية برنامج الإسكان عام ١٤٣٥ وانا مطابق للشروط ومستحق ولحد الآن ساكن في غرفه مع أولادي بإنتظار فرع جده ان يوزعون ارض جوهرة العروس وكل ما اراجعهم يقولون اسمك موجود ولكن المشروع متوقف مع الشك ان يتم التوزيع في ليلة ظلماء وخلال دقائق,others
مو تيك توك ضيم مع احتراماتي الباقي البرامج خلي يفتحون علوه😂😂,others
التوصيل غالي جدااا المذهب جنبنا,rating
خدمة تحديد البلد لا تشمل تحديد المدينة ويمكن اضافتها 100نقطه,improvement_request
نحتاج تغيير موقع المنزل بعد الانتقال من مدينة الى اخرى بتصريح تنقل من وزارة الداخلية,others
لم يردون على التصريح او تم ارسال رسالة نهائياً لا انصح بالاستعمال ابداً,rating
اصبح استخدامه سيئ لكثرة الاعلانات,rating
غير متقولوش لعائشة اذا كان علابالي راح نبعتلكم تصويرة تاع الصح نار في عهد مبارك في حسابك بنجاح في حسابك بنجاح في الصباح او المساء برس على الإنتر يسعى في هذا الموضوع المفيد الله عليه و سلم قال لبلال هارون بن طلحة الأنصاري رضي الله عنها أن النبي من غير ماما جابت الله يبارك حبيبي يا حبيبي يا رسول الله صلى الله عليه وسلم على سيدنا محمد وعلى اله وصحبه اجمعين وبعد هذا كله فقط من غير ماما جابت بيبي جنى مقداد طيور الجنه الفضائيه مدار النايل سات من قسم قسم تحميل الانمي المترجم ون بيس الحلقه الاولى من غير,others
التطبيق لايعمل  ويطلب التحديث,bug_report
لا استطيع دخول يتعذر الدخول ما هو سبب,bug_report
يتاخر بالتوصيل بشكل فضييييع,rating
ليس هناك لغة عربية,improvement_request
لا يمكن الدخول للتطبيق ينطفي لحاله ويطلعني من التطبيق,bug_report
عند فتح التطبيق والقيام بالتسجيل يقوم باظهار رسالة خطاء غير معروف,bug_report
فيه تأخر في بعض الطلابات,others
شكرا من القلب للوزارة هذا التطبيق الان اصبح علامه بارزه,rating
الاسعار عاليه حقت التوصيل,rating
لوسمحتو ليش البرنامح عملي حظر ارحو الاجابه,bug_report
بعض الصفحات في سورة الفرقان غير موجوده ٣٦٠و٣٦١و٣٦٢و٣٦٣ قلت يمكن جوالي معلق ولكن الصفحات اللي بعدها موجوده وكمان اللي قبلها,bug_report
لا يمكن حذف الحسابات المسجلة من تطبيق الأيفون الخيار متوفر علر تطبيق الاندرويد,bug_report
اللعبة جيده ولكن محتاجين تحفيز وجوائز بين المراحل وشكرا,improvement_request
برنامج حلو ولاكن النقاط بسرعه يخلصن ارجو م̷ـــِْن المبرمج ان يزيل هَـ (⊙﹏⊙) ــاآ النقاط ويخلي بدون نقاط مراسله عاديه ابلييز 😖🚬😒,improvement_request
لايوجد خصوصية يستطيع اي شخص يحدد موقعك,rating
يحق للمستهلك الاطلاع على تفاصيل فاتورة لنفس الشهر فقط وهذا سيء المفروض تفاصيل الفواتير لمدة سنه او 6 اشهر على الاقل متوفرة للمستهلك,improvement_request
تطبيق جيد لكن مشكلته انك لو اخترت كذا حاجه بيرسلهم على كذا مره مش مره واحده وعلى كذا شركه شحن,rating
اللعب حلو جد ا بس في مشكل هي انى معياش فلوس,rating
التحديث سئ جدا,rating
الإعلان معفنننن ما اقدر اتخطا ⁦⁦,rating
يفصل لحاله احياناً,bug_report
اللعبه في الإعلان شي ولما تحملها شي ثاني,rating
نطالب لشركه شيش ان نقدر نرسل صور للدردشة تكفون الناس يبون يرسلون صور عشان يجي احلى,improvement_request
العبة موحلوة مابتحمل أنا حطيت نجما عشان أكتب تعليق 😠😠😠😠 😤😤😤😤😤😤😠😠,rating
سبحان الله وبحمده سبحان الله العظيم,others
المشكلة في حال اني عرفت متجر معين وجيت ابحث عنو في البرنامج اذا معروف وموثق ولا لا ما يطلع في البحث حتى لو لقيتو في القائمه ياريت يطورو موضوع البحث عن المتاجر المعروفة كمستخدم وليس كبائع,improvement_request
لماذ تمسحت اللعب و صارت بفلوس عندي و عند اخواتي و انا عالفاضي يعني اشتريت اللعب بفلوس والله انا احب اللعب و ارجو حل المشاكل والله خسريت فلوس $$$ عالفاضي اذا حليتو المشاكل بعطيها خمس نجوم والله اف اف اف,bug_report
بعد التحديث الاخير تم تغيير العنوان الوطني الى مشترك اخر,bug_report
حلوه بس لما احمل كل الاجزاء ما تشتغل العبه عشان كذا قيمته 2 نجوم,bug_report
عدم توفر خدمة الاعتراض عن سبب رفض الشكوى,improvement_request
تطبيق أکثر من رائع فعلاً الدكتور كان جداً متجاوب وسريع الرد,rating
هذه اللعبه تبدو جيده ،,rating
رفض يدخل عندي,bug_report
نحتاج إلى اللغة العربية في اللعبه,improvement_request
لعبه مجنونه من جميع النواحي تستحق ٥ نجوم فيها كارزما خاصه فيها,rating
جزاكم الله خيراً,others
لماذا لايوجد شكوى او ملاحظات في البرنامج,bug_report
اين خانة المعلمين ؟,improvement_request
لعبة جيده بس لو تحط تحكم بسياره اسهم افضل من احرك الجوال يمين يسار,improvement_request
ارجو حل مشكلة الدخول اللعبه لها يومين لاتقبل الدخول كل اسبوع تحديث وتعليق في اللعبه,bug_report
ماقدر ادخل اللعبه يقول صيانه متى ينتهي؟؟,bug_report
اللعبة جيدة ولكن الاعلانات تحجب المشاريع نرجو حل هذه المشكلة في القريب العاجل,bug_report
تطبيق مهم جدا الله يحمي الوطن وشكرا لكل رجل امن,rating
اذا جيت اسجل يمنعني ويقول شبكتك تمنع ذلك مع ان جوالي ايفون ٤ وشبكتي زين والنت حقي موبايلي,bug_report
كل بنت حقيقية و محترمة و راقية و جميلة,others
مافيه حفظ صور ومافيه حفظ مقاطع فديو امنو هذا الاشياء,improvement_request
اكبر فاشل هذا البرنامج طبعا لان مسحت الانستا وثبتنه بغير جهاز ودخلت البريد الالكتروني وكلمه السر ماعرف شنو طلعي وحسابي راح🤦‍♀️ اريد حل لهاي المشكله لخاطر العباس شنو هاي 😠😠😠😠 الي يعرف فدوه خل يرد عل هاي المشكله واالله مليت 🤐,bug_report
تقييم سخيف لاينفع الا للاستعلام ولا تستطيع التوكيل او الاستفاده من الخدمات,rating
تسليه وتضييع وقتلعبه جميله,rating
ارجو تنزيل التطبيق لاجهزة الاندرويد,improvement_request
كان شغال معي وله اربع ايام يطلعني وش السبب,bug_report
لعبة روعة.. ينقصها: ١-تعريب اللعبة ٢-وجود الأون لاين ٣-اضافة مزايا كثيرة,improvement_request
بس شباب وش الا نشر هل هو يعني تهكير للجوال  وثيمه ول كيف,others
0551459882 المدينه المنوره,others
لانه يخذ حق المظلوم من الظالم,others
يا مصخط تكلمو عربي كيف تبون الناس تعرف ان البرنامج حلو,others
ايش هاذي اللعبة حقت البزران اعفن لعبة بلعالم,rating
ممتاز جدا جدا,rating
"رائع فعلا 
ولكن الاحظ مشكلة انه يستهلك البطارية اكثر من المعتاد
فياريت لو كان فعلا في مشكلة يتم معالجتها",improvement_request
برنامج رائع جداً,rating
اللعبة كانت في الماضي مذهلة ولكن في التحديثات الاخيرة اصبحت اللعبة مملة جدااااا بسبب كثرة الهاكات ونظام الحماية .الرويال باس كان جميلا الدليل على ذلك انني شحنا الرويال باس13 ولكني لم اعد اشحن لان الازياء و الاسلحة اصبحت مقززة ولكن واو جمييل!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!؟؟؟؟؟؟😹😂😂😂🤩🤩😂😂🤣🤣🤣😭🤣🤣,rating
حبيبي بدخل بنفس الجوال ما راضي بيظهر رساله ان مسجل ع جوال اخر مع انه نفس الجوال آيه السلفه,bug_report
البرنامج جميل جدا جدا بس في مشكله ليش يشتغل على النت اتمنى ان يشتغل بدون نت وشكرا 🌹🌹,improvement_request
"نتمنى تحديثه و تعديله من جديد
و نتمنى اضافه المخالفين مثل المواقف غلط او قطع الاشارات او التفحيط وووو 
بعده تطبيقكم غبي",improvement_request
كفاكم نصب على سيرفر الشرق الاوسط,others
رائع ول وقت فها قصير يخلك تلعبها كتير شكرا,rating
التحديث الاخير لم يعجبني لانه عندما نقوم بإخفاء الموقع من الاعدادات يظهر عندما ندخل للبث الصوتي اتمنى منكم ان تحلوا هذا المشكل وشكرا Please change this problem my location not hide and this new version is showing our loction in broad please slove this problem,bug_report
يحتاج تطوير من ناحية الإعادة والتقديم,improvement_request
لماذا لايدعم مدرستي؟؟؟؟؟,improvement_request
يرجى اضافه جنود جديده كرتون جديد التعديل في الجيش اضافه بحث سريع عن الموارد,improvement_request
اللعبه حلوه بس فيها مشكله الشبكه فيها سيئه وانا متأكده,bug_report
لقد حذفت العبة والان اريد تنزيلها ولكن صار 3ايام وماجاي تنزل ارجو الرد,bug_report
جميل جداً واستفدت منه كثير,rating
جيد جدا..ويحتاج ان يدمج مع توكلنا لخدمة الجوالات من كثرة البرامج والاستفادة..,improvement_request
ليش ما تشتغل الكنترول على اللعبة بعد التحديث الجديد؟,bug_report
اقوى برنامج بصراحه,rating
بيض الله وجيهكم وجمل الله حالكم كل القايمن ع هذا البرنامج,rating
هناك مشكلة لدي أن التطبيق يوجد لى علامة الشراء و انا لم تشتريها أبدا الرجاء الرد و الحل سريعن,bug_report
يخرب جمال هالبرنامج الاعلانات خلو تطبيقكم متميز بدون ولا اعلان يطلع بطل قليلة عليه,improvement_request
نتمنى إضافة أحداث ممتعة للربح الموارد,improvement_request
خطا داخلي في الخادم هاذ يطلعلي لما ابي ادخل مشكلواجد,bug_report
يعطيهم العافية، لكن بعض الخدمات غير موجودة وهي مهمة جدا، مثل: خدمات الشكاوى في القطاعات الحكومية لايمكن تقييمها! ولو تفعلت لما احتجنا أن نبث شكوانا في وطني. مثلا: الهاتف السياحي يخدم شريحة كبيرة، وآداؤه ضعيف، ولا يوجد تقييم له هنا!,improvement_request
العبه جميله وانا في باب ٨٠,rating
شو سبب الايقاف,others
اكثر من رائع,rating
كيف يمكن حذف ملف السيارة عند حذف ملف السيارة لايعمل البرنامج ارجو الرد رجاءا,bug_report
"العبة مرا حلوة 

وما فيه شي خايس 

والله احب ماين كرافت العبها من ٢٠١٤",rating
الله يعطيكم العافية,rating
التوصيل سريع وممتاز بس العيب عندكم بقي اني المنتاجات مش بتيجي بنفس المواصفات الي علي التطبيق ولما برجعها بتحملوني انا ثمن الشحن مع ان المشكلة من عندكم,improvement_request
جميله جدا انصحكم تحملوها لكن ! في اعلانات,rating
